rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4121;Donauinsel;U1;LEOPOLDAU        ;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.861772
4184;Großfeldsiedlung;U1;LEOPOLDAU        ;2026-02-07T15:42:05.000+0100;2026-02-07T15:42:05.000+0100;2;2026-02-07T15:40:22.861784
4101;Reumannplatz;U1;LEOPOLDAU;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.861796
4115;Nestroyplatz;U1;LEOPOLDAU;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.861808
4123;Kaisermühlen-VIC;U1;LEOPOLDAU        ;2026-02-07T15:42:05.000+0100;2026-02-07T15:42:05.000+0100;2;2026-02-07T15:40:22.861820
4181;Kagraner Platz;U1;LEOPOLDAU;2026-02-07T15:44:05.000+0100;2026-02-07T15:44:05.000+0100;4;2026-02-07T15:40:22.861832
4103;Keplerplatz;U1;LEOPOLDAU;2026-02-07T15:43:05.000+0100;2026-02-07T15:43:05.000+0100;3;2026-02-07T15:40:22.861844
4109;Karlsplatz;U1;LEOPOLDAU     ;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.861856
4136;Alaudagasse;U1;LEOPOLDAU        ;2026-02-07T15:42:05.000+0100;2026-02-07T15:42:05.000+0100;2;2026-02-07T15:40:22.861868
4117;Praterstern;U1;LEOPOLDAU;2026-02-07T15:42:05.000+0100;2026-02-07T15:42:05.000+0100;2;2026-02-07T15:40:22.861880
4125;Alte Donau;U1;LEOPOLDAU;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.861892
4182;Rennbahnweg;U1;LEOPOLDAU;2026-02-07T15:45:05.000+0100;2026-02-07T15:45:05.000+0100;5;2026-02-07T15:40:22.861905
4105;Südtiroler Platz;U1;LEOPOLDAU;2026-02-07T15:44:05.000+0100;2026-02-07T15:44:05.000+0100;4;2026-02-07T15:40:22.861917
4119;Vorgartenstraße;U1;LEOPOLDAU;2026-02-07T15:44:05.000+0100;2026-02-07T15:44:05.000+0100;4;2026-02-07T15:40:22.861930
4137;Altes Landgut;U1;LEOPOLDAU        ;2026-02-07T15:43:05.000+0100;2026-02-07T15:43:05.000+0100;3;2026-02-07T15:40:22.861941
4111;Stephansplatz;U1;LEOPOLDAU     ;2026-02-07T15:42:05.000+0100;2026-02-07T15:42:05.000+0100;2;2026-02-07T15:40:22.861954
4183;Aderklaaer Straße;U1;LEOPOLDAU        ;2026-02-07T15:40:05.000+0100;2026-02-07T15:40:05.000+0100;0;2026-02-07T15:40:22.861966
4127;Kagran;U1;LEOPOLDAU;2026-02-07T15:42:05.000+0100;2026-02-07T15:42:05.000+0100;2;2026-02-07T15:40:22.861978
4107;Taubstummengasse;U1;LEOPOLDAU;2026-02-07T15:45:05.000+0100;2026-02-07T15:45:05.000+0100;5;2026-02-07T15:40:22.861990
4113;Schwedenplatz;U1;LEOPOLDAU     ;2026-02-07T15:44:05.000+0100;2026-02-07T15:44:05.000+0100;4;2026-02-07T15:40:22.862002
4138;Troststraße;U1;LEOPOLDAU        ;2026-02-07T15:45:05.000+0100;2026-02-07T15:45:05.000+0100;5;2026-02-07T15:40:22.862013
4134;Oberlaa;U1;LEOPOLDAU        ;2026-02-07T15:49:05.000+0100;2026-02-07T15:49:05.000+0100;9;2026-02-07T15:40:22.862025
4135;Neulaa;U1;LEOPOLDAU        ;2026-02-07T15:40:05.000+0100;2026-02-07T15:40:05.000+0100;0;2026-02-07T15:40:22.862037
4189;Großfeldsiedlung;U1;OBERLAA          ;2026-02-07T15:40:05.000+0100;2026-02-07T15:40:05.000+0100;0;2026-02-07T15:40:22.862049
4108;Donauinsel;U1;OBERLAA          ;2026-02-07T15:40:05.000+0100;2026-02-07T15:40:05.000+0100;0;2026-02-07T15:40:22.862060
4116;Schwedenplatz;U1;ALAUDAGASSE   ;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.862072
4129;Troststraße;U1;ALAUDAGASSE      ;2026-02-07T15:43:05.000+0100;2026-02-07T15:43:05.000+0100;3;2026-02-07T15:40:22.862088
4122;Taubstummengasse;U1;OBERLAA;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.862104
4132;Neulaa;U1;OBERLAA          ;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.862115
4102;Kagran;U1;ALAUDAGASSE      ;2026-02-07T15:41:05.000+0100;2026-02-07T15:41:05.000+0100;1;2026-02-07T15:40:22.862127
4188;Aderklaaer Straße;U1;OBERLAA          ;2026-02-07T15:42:05.000+0100;2026-02-07T15:42:05.000+0100;2;2026-02-07T15:40:22.862139
