rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4103;Keplerplatz;U1;LEOPOLDAU        ;2026-02-12T17:39:35.000+0100;2026-02-12T17:39:35.000+0100;0;2026-02-12T17:39:49.205910
4107;Taubstummengasse;U1;LEOPOLDAU;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:49.205919
4115;Nestroyplatz;U1;LEOPOLDAU;2026-02-12T17:40:35.000+0100;2026-02-12T17:40:35.000+0100;1;2026-02-12T17:39:49.205928
4111;Stephansplatz;U1;LEOPOLDAU     ;2026-02-12T17:40:35.000+0100;2026-02-12T17:40:35.000+0100;1;2026-02-12T17:39:49.205938
4105;Südtiroler Platz;U1;LEOPOLDAU        ;2026-02-12T17:41:35.000+0100;2026-02-12T17:41:35.000+0100;2;2026-02-12T17:39:49.205947
4117;Praterstern;U1;LEOPOLDAU;2026-02-12T17:41:35.000+0100;2026-02-12T17:41:35.000+0100;2;2026-02-12T17:39:49.205957
4121;Donauinsel;U1;LEOPOLDAU        ;2026-02-12T17:41:35.000+0100;2026-02-12T17:41:35.000+0100;2;2026-02-12T17:39:49.205967
4101;Reumannplatz;U1;LEOPOLDAU;2026-02-12T17:40:35.000+0100;2026-02-12T17:40:35.000+0100;1;2026-02-12T17:39:49.205980
4109;Karlsplatz;U1;LEOPOLDAU;2026-02-12T17:41:35.000+0100;2026-02-12T17:41:35.000+0100;2;2026-02-12T17:39:49.205990
4113;Schwedenplatz;U1;LEOPOLDAU     ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:49.205999
4119;Vorgartenstraße;U1;LEOPOLDAU        ;2026-02-12T17:39:35.000+0100;2026-02-12T17:39:35.000+0100;0;2026-02-12T17:39:49.206008
4118;Stephansplatz;U1;ALAUDAGASSE;2026-02-12T17:39:35.000+0100;2026-02-12T17:39:35.000+0100;0;2026-02-12T17:39:49.206018
4104;Alte Donau;U1;OBERLAA          ;2026-02-12T17:42:35.000+0100;2026-02-12T17:42:35.000+0100;3;2026-02-12T17:39:49.206029
4114;Nestroyplatz;U1;OBERLAA          ;2026-02-12T17:42:35.000+0100;2026-02-12T17:42:35.000+0100;3;2026-02-12T17:39:49.206039
4102;Kagran;U1;OBERLAA          ;2026-02-12T17:39:35.000+0100;2026-02-12T17:39:35.000+0100;0;2026-02-12T17:39:49.206048
4110;Vorgartenstraße;U1;ALAUDAGASSE      ;2026-02-12T17:42:35.000+0100;2026-02-12T17:42:35.000+0100;3;2026-02-12T17:39:49.206057
4106;Kaisermühlen-VIC;U1;OBERLAA          ;2026-02-12T17:43:35.000+0100;2026-02-12T17:43:35.000+0100;4;2026-02-12T17:39:49.206067
4120;Karlsplatz;U1;OBERLAA       ;2026-02-12T17:39:35.000+0100;2026-02-12T17:39:35.000+0100;0;2026-02-12T17:39:49.206076
4116;Schwedenplatz;U1;OBERLAA       ;2026-02-12T17:43:35.000+0100;2026-02-12T17:43:35.000+0100;4;2026-02-12T17:39:49.206085
4108;Donauinsel;U1;ALAUDAGASSE      ;2026-02-12T17:39:35.000+0100;2026-02-12T17:39:35.000+0100;0;2026-02-12T17:39:49.206094
4112;Praterstern;U1;OBERLAA       ;2026-02-12T17:40:35.000+0100;2026-02-12T17:40:35.000+0100;1;2026-02-12T17:39:49.206104
4182;Rennbahnweg;U1;LEOPOLDAU        ;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249047
4134;Oberlaa;U1;LEOPOLDAU        ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249074
4125;Alte Donau;U1;LEOPOLDAU        ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249085
4136;Alaudagasse;U1;LEOPOLDAU;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249094
4138;Troststraße;U1;LEOPOLDAU;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249103
4183;Aderklaaer Straße;U1;LEOPOLDAU;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249112
4181;Kagraner Platz;U1;LEOPOLDAU        ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249120
