FID,OBJECTID,SHAPE,LINFO,HSTNR,HTXT,HBEM,EROEFFNUNG_JAHR,EROEFFNUNG_MONAT,SE_ANNO_CAD_DATA
UBAHNHALTOGD.363421,363421,POINT (16.31895549360433 48.18604734291811),4.0,,SchÃ¶nbrunn,,1981.0,8.0,
UBAHNHALTOGD.363422,363422,POINT (16.32422969602798 48.160715470417074),6.0,,Am SchÃ¶pfwerk,,1995.0,4.0,
UBAHNHALTOGD.363423,363423,POINT (16.379130834466533 48.20681644362203),3.0,,Stubentor,,1991.0,4.0,
UBAHNHALTOGD.363424,363424,POINT (16.420700108817776 48.169649320814905),3.0,,Simmering,,2000.0,12.0,
UBAHNHALTOGD.363425,363425,POINT (16.32776466471102 48.1836450815562),4.0,,Meidling HauptstraÃŸe,,1980.0,10.0,
UBAHNHALTOGD.363426,363426,POINT (16.36401150687909 48.22776732805286),4.0,,FriedensbrÃ¼cke,,1976.0,5.0,
UBAHNHALTOGD.363427,363427,POINT (16.365810680723207 48.24845154889759),4.0,,Heiligenstadt,,1976.0,5.0,
UBAHNHALTOGD.363428,363428,POINT (16.334943203304107 48.184801602636824),6.0,,LÃ¤ngenfeldgasse,,1989.0,10.0,
UBAHNHALTOGD.363429,363429,POINT (16.309837420672512 48.130515292464686),6.0,,Siebenhirten,,1995.0,4.0,
UBAHNHALTOGD.363430,363430,POINT (16.368636719307563 48.23521721955602),6.0,,JÃ¤gerstraÃŸe,,1996.0,5.0,
UBAHNHALTOGD.363431,363431,POINT (16.31653095485842 48.14192168916368),6.0,,Erlaaer StraÃŸe,,1995.0,4.0,
UBAHNHALTOGD.363432,363432,POINT (16.40044241975225 48.25620481955809),6.0,,Floridsdorf,,1996.0,5.0,
UBAHNHALTOGD.363433,363433,POINT (16.5084380166283 48.226254267588395),2.0,,Seestadt,,2013.0,10.0,
UBAHNHALTOGD.363434,363434,POINT (16.449662554080604 48.21981744768266),2.0,,Stadlau,,2010.0,10.0,
UBAHNHALTOGD.363435,363435,POINT (16.485772513552167 48.23340985714509),2.0,,HausfeldstraÃŸe,,2013.0,10.0,
UBAHNHALTOGD.363436,363436,POINT (16.474871605352835 48.22252405475093),2.0,,AspernstraÃŸe,,2010.0,10.0,
UBAHNHALTOGD.363437,363437,POINT (16.466612047693488 48.21941919915699),2.0,,Donauspital,,2010.0,10.0,
UBAHNHALTOGD.363438,363438,POINT (16.457749837890084 48.22089616696607),2.0,,Hardeggasse,,2010.0,10.0,
UBAHNHALTOGD.363439,363439,POINT (16.440124976487237 48.21176869205),2.0,,DonaustadtbrÃ¼cke,,2010.0,10.0,
UBAHNHALTOGD.363440,363440,POINT (16.504493677487787 48.234508003724855),2.0,,Aspern Nord,,2013.0,10.0,
UBAHNHALTOGD.363441,363441,POINT (16.43161737278712 48.20646511510381),2.0,,Donaumarina,,2010.0,10.0,
UBAHNHALTOGD.363442,363442,POINT (16.420255142129175 48.21067149142399),2.0,,Stadion,,2008.0,5.0,
UBAHNHALTOGD.363443,363443,POINT (16.413751952536614 48.214686360160094),2.0,,Krieau,,2008.0,5.0,
UBAHNHALTOGD.363444,363444,POINT (16.40496300735243 48.2177920991859),2.0,,Messe Prater,,2008.0,5.0,
