FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14462373,14462373,POINT (16.38833861131482 48.380616151128834),Seebarn bei Harmannsdorf SchloÃŸstraÃŸe,Seebarn bei Harmannsdorf SchloÃŸstraÃŸe,857,,3,https://anachb.vor.at?P=SQ&input=Seebarn/Harmannsdorf%20SchloÃŸstraÃŸe&start=1,
OEFFHALTESTOGD.14462374,14462374,POINT (16.500259672220313 48.330957212288475),Seyring Bahnhof,Seyring Bahnhof,"513,SV902",,3,https://anachb.vor.at?P=SQ&input=Seyring%20Bahnhof&start=1,
OEFFHALTESTOGD.14462375,14462375,POINT (16.49430387188692 48.330736214479266),Seyring Raimund-Lux-Gasse,Seyring Raimund-Lux-Gasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Raimund-Lux-Gasse&start=1,
OEFFHALTESTOGD.14462376,14462376,POINT (16.494294872478232 48.330813914050765),Seyring Raimund-Lux-Gasse,Seyring Raimund-Lux-Gasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Raimund-Lux-Gasse&start=1,
OEFFHALTESTOGD.14462377,14462377,POINT (16.481862174003016 48.33320271857834),Seyring HauptstraÃŸe,Seyring HauptstraÃŸe,"502,513",,3,https://anachb.vor.at?P=SQ&input=Seyring%20HauptstraÃŸe&start=1,
OEFFHALTESTOGD.14462378,14462378,POINT (16.486048374161612 48.333095217412726),Seyring Rechte DorfstraÃŸe,Seyring Rechte DorfstraÃŸe,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Rechte%20DorfstraÃŸe&start=1,
OEFFHALTESTOGD.14462379,14462379,POINT (16.486093274643125 48.333155017368185),Seyring Rechte DorfstraÃŸe,Seyring Rechte DorfstraÃŸe,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Rechte%20DorfstraÃŸe&start=1,
OEFFHALTESTOGD.14462380,14462380,POINT (16.479787072105584 48.3309333195111),Seyring Wiener StraÃŸe,Seyring Wiener StraÃŸe,"502,513",,3,https://anachb.vor.at?P=SQ&input=Seyring%20Wiener%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462381,14462381,POINT (16.479598472996738 48.33100501891651),Seyring Wiener StraÃŸe,Seyring Wiener StraÃŸe,"502,513",,3,https://anachb.vor.at?P=SQ&input=Seyring%20Wiener%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462382,14462382,POINT (16.190646127411657 48.01843322003758),Helenental Abzw. Siegenfeld,Helenental Abzw. Siegenfeld,308,,3,https://anachb.vor.at?P=SQ&input=Helenental%20Abzw.%20Siegenfeld&start=1,
OEFFHALTESTOGD.14462383,14462383,POINT (16.190583226073016 48.0179345206065),Helenental Abzw. Siegenfeld,Helenental Abzw. Siegenfeld,"306,308",,3,https://anachb.vor.at?P=SQ&input=Helenental%20Abzw.%20Siegenfeld&start=1,
OEFFHALTESTOGD.14462384,14462384,POINT (16.179021936995742 48.031302424247954),Siegenfeld Rosental,Siegenfeld Rosental,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Rosental&start=1,
OEFFHALTESTOGD.14462385,14462385,POINT (16.17898593719731 48.03117622495431),Siegenfeld Rosental,Siegenfeld Rosental,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Rosental&start=1,
OEFFHALTESTOGD.14462386,14462386,POINT (16.1757430421537 48.03789792583026),Siegenfeld Kirchenplatz,Siegenfeld Kirchenplatz,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Kirchenplatz&start=1,
OEFFHALTESTOGD.14462387,14462387,POINT (16.175464542184734 48.037970026030095),Siegenfeld Kirchenplatz,Siegenfeld Kirchenplatz,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Kirchenplatz&start=1,
OEFFHALTESTOGD.14462388,14462388,POINT (16.173910441997293 48.03710512606385),Siegenfeld Badner StraÃŸe,Siegenfeld Badner StraÃŸe,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Badner%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462389,14462389,POINT (16.173676941045454 48.037093026332926),Siegenfeld Badner StraÃŸe,Siegenfeld Badner StraÃŸe,308,,3,https://anachb.vor.at?P=SQ&input=Siegenfeld%20Badner%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462390,14462390,POINT (16.157525273684616 48.07835973215525),Sittendorf Dornbacher StraÃŸe,Sittendorf Dornbacher StraÃŸe,"251,252,264",,3,https://anachb.vor.at?P=SQ&input=Sittendorf/MÃ¶dling%20Dornbacher%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462391,14462391,POINT (16.157606073951918 48.07823973248499),Sittendorf Dornbacher StraÃŸe,Sittendorf Dornbacher StraÃŸe,"252,264",,3,https://anachb.vor.at?P=SQ&input=Sittendorf/MÃ¶dling%20Dornbacher%20StraÃŸe&start=1,
OEFFHALTESTOGD.14462392,14462392,POINT (16.49780727318884 48.33071831254685),Seyring Fuchsgasse,Seyring Fuchsgasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Fuchsgasse&start=1,
OEFFHALTESTOGD.14462393,14462393,POINT (16.496226272272143 48.330801913565686),Seyring Fuchsgasse,Seyring Fuchsgasse,513,,3,https://anachb.vor.at?P=SQ&input=Seyring%20Fuchsgasse&start=1,
OEFFHALTESTOGD.14462394,14462394,POINT (16.482473075609956 48.33402091804707),Seyring Enzersfelder Weg,Seyring Enzersfelder Weg,"502,513",,3,https://anachb.vor.at?P=SQ&input=Seyring%20Enzersfelder%20Weg&start=1,
OEFFHALTESTOGD.14462395,14462395,POINT (16.162645669871292 48.07384023009928),Sittendorf Volksschule,Sittendorf Volksschule,"251,252,255,264",,3,https://anachb.vor.at?P=SQ&input=Sittendorf/MÃ¶dling%20Volksschule&start=1,
OEFFHALTESTOGD.14462396,14462396,POINT (16.308918541315908 48.29095147942712),Weidling Kirche (Lenaugasse),Weidling Kirche (Lenaugasse),401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Kirche&start=1,
OEFFHALTESTOGD.14462397,14462397,POINT (16.274189638933443 48.28892529168004),Weidling Rotgraben,Weidling Rotgraben,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Rotgraben&start=1,
OEFFHALTESTOGD.14462398,14462398,POINT (16.274063839471395 48.28888339158413),Weidling Rotgraben,Weidling Rotgraben,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Rotgraben&start=1,
OEFFHALTESTOGD.14462399,14462399,POINT (16.311900941010084 48.29093957850709),Weidling Kirchmayergasse,Weidling Kirchmayergasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Kirchmayergasse&start=1,
OEFFHALTESTOGD.14462400,14462400,POINT (16.31201764018391 48.29081997784285),Weidling Kirchmayergasse,Weidling Kirchmayergasse,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Kirchmayergasse&start=1,
OEFFHALTESTOGD.14462401,14462401,POINT (16.286038434271653 48.2818657870127),Weidling Schwedenheim,Weidling Schwedenheim,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Schwedenheim&start=1,
OEFFHALTESTOGD.14462402,14462402,POINT (16.28618213403242 48.28172828738044),Weidling Schwedenheim,Weidling Schwedenheim,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Schwedenheim&start=1,
OEFFHALTESTOGD.14462403,14462403,POINT (16.305774339202447 48.28857258086861),Weidling Servitenhof,Weidling Servitenhof,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Servitenhof&start=1,
OEFFHALTESTOGD.14462404,14462404,POINT (16.305909139316558 48.288482980399806),Weidling Servitenhof,Weidling Servitenhof,401,,3,https://anachb.vor.at?P=SQ&input=Weidling/Klosterneuburg%20Servitenhof&start=1,
