StopID,DIVA,StopText,Municipality,MunicipalityID,Longitude,Latitude
8,60201349.0,Hauptbahnhof S U,Wien,49000001.0,16.3749761,48.1859187
10,60200245.0,Stubentor U,Wien,49000001.0,16.3798899,48.2067269
18,60201184.0,Schottentor U,Wien,49000001.0,16.3621481,48.213725
20,60201182.0,Schottenring U,Wien,49000001.0,16.3712032,48.2165922
22,60201198.0,Schwedenplatz U,Wien,49000001.0,16.3778597,48.211576
26,,Praterstern S U,,,0.0,0.0
36,60201468.0,Westbahnhof S U,Wien,49000001.0,16.3392411,48.1964526
39,60201349.0,Hauptbahnhof S U,Wien,49000001.0,16.3753085,48.1860325
42,60201198.0,Schwedenplatz U,Wien,49000001.0,16.3778237,48.2117137
44,60201182.0,Schottenring U,Wien,49000001.0,16.3709067,48.2170292
46,60201184.0,Schottentor U,Wien,49000001.0,16.3618068,48.213731
54,60200245.0,Stubentor U,Wien,49000001.0,16.3803031,48.2068886
65,60200641.0,KaisermÃƒÂ¼hlen-VIC U,Wien,49000001.0,16.4157596,48.232709
66,,KaisermÃƒÂ¼hlen-VIC U,,,0.0,0.0
72,60200641.0,KaisermÃƒÂ¼hlen-VIC U,Wien,49000001.0,16.415535,48.2328406
79,60201182.0,Schottenring U,Wien,49000001.0,16.3716793,48.2163827
98,60201062.0,Spittelau S U,Wien,49000001.0,16.3567672,48.2359939
121,60201062.0,Spittelau S U,Wien,49000001.0,16.356893,48.235982
134,60201198.0,Schwedenplatz U,Wien,49000001.0,16.3777339,48.2117975
137,60200520.0,Hietzing U,Wien,49000001.0,16.3039732,48.1884041
208,60200950.0,NuÃƒÅ¸dorfer StraÃƒÅ¸e U,Wien,49000001.0,16.353686,48.2323918
215,60200950.0,NuÃƒÅ¸dorfer StraÃƒÅ¸e U,Wien,49000001.0,16.354252,48.2315301
220,60200027.0,Alser StraÃƒÅ¸e U,Wien,49000001.0,16.3421337,48.2172207
234,60200027.0,Alser StraÃƒÅ¸e U,Wien,49000001.0,16.3420798,48.2171549
249,60200615.0,JosefstÃƒÂ¤dter StraÃƒÅ¸e U,Wien,49000001.0,16.3392591,48.2111689
252,60201072.0,Rathaus U,Wien,49000001.0,16.3547909,48.2091755
253,60200743.0,LandstraÃƒÅ¸e S U,Wien,49000001.0,16.3842647,48.2060983
257,60200653.0,Kardinal-Nagl-Platz U,Wien,49000001.0,16.4013147,48.1978598
259,60200743.0,LandstraÃƒÅ¸e S U,Wien,49000001.0,16.3843365,48.2062121
263,60200653.0,Kardinal-Nagl-Platz U,Wien,49000001.0,16.4019255,48.1970574
