rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4138;Troststraße;U1;LEOPOLDAU        ;2026-02-07T16:10:46.000+0100;2026-02-07T16:10:46.000+0100;6;2026-02-07T16:05:00.071433
4107;Taubstummengasse;U1;LEOPOLDAU        ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:00.071443
4113;Schwedenplatz;U1;LEOPOLDAU     ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:00.071452
4184;Großfeldsiedlung;U1;LEOPOLDAU;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:00.071461
4121;Donauinsel;U1;LEOPOLDAU;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:00.071471
4115;Nestroyplatz;U1;LEOPOLDAU        ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:00.071482
4101;Reumannplatz;U1;LEOPOLDAU;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:00.071494
4123;Kaisermühlen-VIC;U1;LEOPOLDAU;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:00.071506
4181;Kagraner Platz;U1;LEOPOLDAU        ;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:00.071518
4103;Keplerplatz;U1;LEOPOLDAU;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:00.071532
4109;Karlsplatz;U1;LEOPOLDAU     ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:00.071544
4136;Alaudagasse;U1;LEOPOLDAU        ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:00.071554
4117;Praterstern;U1;LEOPOLDAU     ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:00.071565
4125;Alte Donau;U1;LEOPOLDAU;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:00.071574
4182;Rennbahnweg;U1;LEOPOLDAU;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:00.071583
